producto	persona	orden	marca	puntuacion
Yogur	Laia Pont	1	Hacendado (Mercadona)	5
Yogur	Laia Pont	2	Eroski	5
Yogur	Laia Pont	3	Milbona (Lidl)	5
Yogur	Laia Pont	4	Pastoret	6
Yogur	Laia Pont	5	Aliada (El Corte Ingl s)	8
Yogur	Laia Pont	6	Danone	5
Yogur	Laia Pont	7	Carrefour	9
Yogur	Laia Pont	8	Dia	6
Salsa de tomate	Chiara Bombardi	1	Dia	6
Salsa de tomate	Chiara Bombardi	2	Orlando	7
Salsa de tomate	Chiara Bombardi	3	Hida	5
Salsa de tomate	Chiara Bombardi	4	Hacendado (Mercadona)	8.5
Salsa de tomate	Chiara Bombardi	5	Alcampo	9.5
Salsa de tomate	Chiara Bombardi	6	Solis	7.5
Salsa de tomate	Chiara Bombardi	7	Pedro Luis	3
Salsa de tomate	Chiara Bombardi	8	El Corte Ingl s	6
Tortilla	Lara Zaballa	1	El Corte Ingl s	2
Tortilla	Lara Zaballa	2	Hacendado (Mercadona)	3
Tortilla	Lara Zaballa	3	Dia	4
Tortilla	Lara Zaballa	4	Coren	2
Tortilla	Lara Zaballa	5	Chef Select (Lidl)	4
Tortilla	Lara Zaballa	6	Auchan (Alcampo)	2
Tortilla	Lara Zaballa	7	La cocina de Sen n	6
Tortilla	Lara Zaballa	8	Palacios	5
Tortilla	Lara Zaballa	9	Eroski	5.5
Tortilla	Mar a Gonz lez	1	El Corte Ingl s	2
Tortilla	Mar a Gonz lez	2	Hacendado (Mercadona)	2.5
Tortilla	Mar a Gonz lez	3	Dia	2.5
Tortilla	Mar a Gonz lez	4	Coren	2
Tortilla	Mar a Gonz lez	5	Chef Select (Lidl)	1
Tortilla	Mar a Gonz lez	6	Auchan (Alcampo)	1.5
Tortilla	Mar a Gonz lez	7	La cocina de Sen n	5.5
Tortilla	Mar a Gonz lez	8	Palacios	4
Tortilla	Mar a Gonz lez	9	Eroski	4.5
Caf  (c psula)	Kim Ossenblok	1	Nespresso	4
Caf  (c psula)	Kim Ossenblok	2	Fortaleza	2
Caf  (c psula)	Kim Ossenblok	3	Marcilla	2
Caf  (c psula)	Kim Ossenblok	4	Bellarom (Lidl)	5
Caf  (c psula)	Kim Ossenblok	5	Nescaf 	5
Caf  (c psula)	Kim Ossenblok	6	Prosol (Mercadona)	3.5
Caf  (c psula)	Kim Ossenblok	7	L'Arome	4
Caf  (c psula)	Kim Ossenblok	8	Carrefour	3
Caf  (c psula)	Kim Ossenblok	9	Carte Noir	5
Caf  (molido)	Fra ois Justet	1	Nestl  Bonka	2
Caf  (molido)	Fra ois Justet	2	El Corte Ingl s	5.5
Caf  (molido)	Fra ois Justet	3	Marcilla	2.5
Caf  (molido)	Fra ois Justet	4	Saimaza	5
Caf  (molido)	Fra ois Justet	5	Lavazza	4.5
Caf  (molido)	Fra ois Justet	6	Hacendado (Mercadona)	3.5
Caf  (molido)	Fra ois Justet	7	Fortaleza	6.5
Caf  (molido)	Fra ois Justet	8	Saula	5
Caf  (molido)	Fra ois Justet	9	Carrefour	2
Salmorejo	Paco Morales	1	El Corte Ingl s	5
Salmorejo	Paco Morales	2	Alvalle	7
Salmorejo	Paco Morales	3	Santa Teresa	4.5
Salmorejo	Paco Morales	4	Salteras	7.5
Salmorejo	Paco Morales	5	Hacendado (Mercadona)	6
Salmorejo	Paco Morales	6	Garc a Mill n (Aldi)	8.5
Salmorejo	Paco Morales	7	La Despensa	5
Salmorejo	Paco Morales	8	Don Sim n	6
Hummus	Miguel Katib	1	Argal	4
Hummus	Miguel Katib	2	Simply (Mercadona)	6
Hummus	Miguel Katib	3	Vegetalia	0
Hummus	Miguel Katib	4	Eroski	4
Hummus	Miguel Katib	5	Chef Select (Lidl)	5
Hummus	Miguel Katib	6	La Piara	4.5
Hummus	Miguel Katib	7	Alfez	2
Hummus	Miguel Katib	8	Casa Morando (Aldi)	4
Crema de verduras	Xavier Pellicer	1	Ametller	7
Crema de verduras	Xavier Pellicer	2	Knorr	3
Crema de verduras	Xavier Pellicer	3	Gvtarra	2
Crema de verduras	Xavier Pellicer	4	Gallina Blanca	4
Crema de verduras	Xavier Pellicer	5	Pedro Luis	1
Crema de verduras	Xavier Pellicer	6	Santa Teresa	2
Crema de verduras	Xavier Pellicer	7	Carretilla	3
Crema de verduras	Xavier Pellicer	8	Hacendado (Mercadona)	6
Panettone	Tonatiuh Cort s	1	Giuseppe (Mercadona)	3
Panettone	Tonatiuh Cort s	2	Favorita (Lidl)	4
Panettone	Tonatiuh Cort s	3	Saronno (El Crote Ingles)	4
Panettone	Tonatiuh Cort s	4	Bauli	2
Panettone	Tonatiuh Cort s	5	Motta	1.5
Panettone	Tonatiuh Cort s	6	Tre Marie	2
Panettone	Tonatiuh Cort s	7	Lacasitos	0
Panettone	Tonatiuh Cort s	8	Delaviuda	1
Vermut	Fra ois Monti	1	Yzaguirre	6
Vermut	Fra ois Monti	2	Cinzano	7
Vermut	Fra ois Monti	3	Maronti (Mercadona)	5
Vermut	Fra ois Monti	4	Lacuesta	2
Vermut	Fra ois Monti	5	Espinaler	3
Vermut	Fra ois Monti	6	Alvini (Dia)	4
Vermut	Fra ois Monti	7	Lustau	7
Vermut	Fra ois Monti	8	Martini	4.5
Vermut	Fra ois Monti	9	Vernotti	4.75
Guacamole	Paco M ndez	1	Hacendado (Mercadona)	1.5
Guacamole	Paco M ndez	2	Soan Fresh (Dia)	4
Guacamole	Paco M ndez	3	Chef Select (Lidl)	4.5
Guacamole	Paco M ndez	4	Cantina	1
Guacamole	Paco M ndez	5	Salssitas	6.5
Guacamole	Paco M ndez	6	Frudel	5
Guacamole	Paco M ndez	7	Old El Paso	1.5
Guacamole	Paco M ndez	8	Fresh Mix	5
Guacamole	Nancy Migel	1	Hacendado (Mercadona)	2
Guacamole	Nancy Migel	2	Soan Fresh (Dia)	3
Guacamole	Nancy Migel	3	Chef Select (Lidl)	5
Guacamole	Nancy Migel	4	Cantina	1
Guacamole	Nancy Migel	5	Salssitas	7
Guacamole	Nancy Migel	6	Frudel	6
Guacamole	Nancy Migel	7	Old El Paso	1.5
Guacamole	Nancy Migel	8	Fresh Mix	6
Macarrones	Nicoletta Acerbi	1	Eroski	3
Macarrones	Nicoletta Acerbi	2	Gallo	3
Macarrones	Nicoletta Acerbi	3	Garofalo	7
Macarrones	Nicoletta Acerbi	4	Barilla	6
Macarrones	Nicoletta Acerbi	5	Dia	2
Macarrones	Nicoletta Acerbi	6	Aliada (El Corte Ingl s)	5
Macarrones	Nicoletta Acerbi	7	Hacendado (Mercadona)	5
