producto	fecha	link
Cerveza	16/11/2018	https://www.youtube.com/watch?v=_9yO05eQuwY
Sushi	27/02/2019	https://www.youtube.com/watch?v=oT9UTAHl1P0
Fuet	26/01/2021	https://www.youtube.com/watch?v=8iQTf5XuPZw
Aceite de oliva virgen extra	24/03/2021	https://www.youtube.com/watch?v=WQBksSANups
Pan de molde	08/01/2020	https://www.youtube.com/watch?v=KiDhxPJ_cg0
Atún de lata	17/05/2021	https://www.youtube.com/watch?v=Tftx3pa0AKU
Mayonesa	18/01/2021	https://www.youtube.com/watch?v=pmX_HcJUXWg
Chocolate	28/09/2018	https://www.youtube.com/watch?v=_dXw5kBVLN4
Turrón	04/12/2015	https://www.youtube.com/watch?v=UgGVnDwdcQw
Pizza	05/04/2017	https://www.youtube.com/watch?v=Gk5abdMIhrI
Gazpacho	15/07/2016	https://www.youtube.com/watch?v=_oibYQSAMho
Helado de chocolate	06/07/2021	https://www.youtube.com/watch?v=lWQLqEZWN_k
Pan	02/11/2015	https://www.youtube.com/watch?v=3MHq3oYdTTw
Ketchup	18/05/2021	https://www.youtube.com/watch?v=buS3M9K0UCs
Yogur griego	31/08/2021	https://www.youtube.com/watch?v=8qHbpA2YpXY
Tortilla	08/05/2019	https://www.youtube.com/watch?v=PnTV2Km_fQA
Patatas fritas	15/05/2017	https://www.youtube.com/watch?v=jEkRbgIYkDo
Yogur	02/03/2016	https://www.youtube.com/watch?v=0gq3b0qk4M4
Caldo envasado	19/01/2017	https://www.youtube.com/watch?v=yO1J2EkatgU
Crema de verduras	04/09/2019	https://www.youtube.com/watch?v=A2nTakML97Q
Aceitunas	20/06/2021	https://www.youtube.com/watch?v=hgY0u1PEYlE
Hummus	02/11/2017	https://www.youtube.com/watch?v=WlPDOoLCDZw
Jamón York	30/10/2016	https://www.youtube.com/watch?v=SFhhbenPxN4
Café (cápsula)	08/09/2016	https://www.youtube.com/watch?v=3OuRzrKwWO8
Macarrones	04/03/2020	https://www.youtube.com/watch?v=Pro815umgmo
Leche	05/04/2018	https://www.youtube.com/watch?v=nIB-lTOjs7s
Té (bolsita)	11/01/2019	https://www.youtube.com/watch?v=yJa6_SRyuEw
Croquetas	06/11/2019	https://www.youtube.com/watch?v=FKYuh9w6514
Panettone	16/12/2020	https://www.youtube.com/watch?v=EaBI2O4rSUA
Guacamole	15/07/2020	https://www.youtube.com/watch?v=nOTLCZO_5Rg
Salsa de tomate	27/09/2017	https://www.youtube.com/watch?v=CJIhJNFeEtg
Sushi	27/02/2019	https://www.youtube.com/watch?v=oT9UTAHl1P0&t=39s
Cerveza sin alcohol	17/07/2017	https://www.youtube.com/watch?v=IUTFNR4x-CQ
Cava	22/12/2016	https://www.youtube.com/watch?v=YoB4OtxsiQI
Agua	08/02/2018	https://www.youtube.com/results?search_query=comidista+agua
Vermut	27/05/2020	https://www.youtube.com/watch?v=engFsvwsZMA&t=2s
Salmorejo	15/08/2018	https://www.youtube.com/watch?v=gEmaPR6SREo
Café (molido)	26/06/2019	https://www.youtube.com/watch?v=eKaF73MJj-Q
Mozzarella	19/10/2021	https://www.youtube.com/watch?v=ROcVyQTSBA8
Turrón blando	15/12/2021	https://www.youtube.com/watch?v=sNKb4Zizioc
Mantequilla	15/03/2022	https://www.youtube.com/watch?v=jVdvSyfVqnw
Hambuguesa vegetal	03/05/2022	https://www.youtube.com/watch?v=NaffadwEZA0
Tónica	05/07/2022	https://www.youtube.com/watch?v=gcEiq6c9480
Crema de cacao y avellanas	20/09/2022	https://www.youtube.com/watch?v=Y5rsMJXebTI
Polvorones	20/12/2022	https://www.youtube.com/watch?v=s0u4vDDlHE8
Sardinillas en aceite	31/01/2023	https://www.youtube.com/watch?v=RVT0IknuA8k
Garbanzos de bote	29/03/2023	https://www.youtube.com/watch?v=n1BifJVfuLE
